account_number,customer_ref,account_type,currency,opened_on,risk_rating,status
MT5000036242,C00440,SAVINGS,INR,2021-10-26,LOW,ACTIVE
MT5000036267,C00440,WALLET,INR,2023-07-22,LOW,ACTIVE
MT5000036344,C00441,SAVINGS,INR,2022-05-04,MEDIUM,ACTIVE
MT5000036419,C00441,WALLET,INR,2024-05-04,MEDIUM,ACTIVE
MT5000036440,C00442,SAVINGS,INR,2025-08-20,LOW,ACTIVE
MT5000036446,C00442,NRE,INR,2024-12-28,MEDIUM,ACTIVE
MT5000036535,C00443,SAVINGS,INR,2024-12-06,LOW,ACTIVE
MT5000036563,C00443,CURRENT,INR,2021-11-30,MEDIUM,ACTIVE
MT5000036658,C00444,SAVINGS,INR,2024-02-12,LOW,ACTIVE
MT5000036659,C00445,SAVINGS,INR,2024-03-09,LOW,ACTIVE
MT5000036731,C00446,SAVINGS,INR,2025-07-30,LOW,ACTIVE
MT5000036812,C00447,SAVINGS,INR,2022-12-09,MEDIUM,ACTIVE
MT5000036859,C00447,CURRENT,INR,2025-02-08,MEDIUM,ACTIVE
MT5000036893,C00448,SAVINGS,INR,2022-03-11,MEDIUM,ACTIVE
MT5000036925,C00449,SAVINGS,INR,2025-03-22,LOW,ACTIVE
MT5000036948,C00449,NRE,INR,2021-02-11,LOW,ACTIVE
MT5000036966,C00450,SAVINGS,INR,2024-02-05,MEDIUM,ACTIVE
MT5000036981,C00450,NRE,INR,2020-12-21,MEDIUM,ACTIVE
MT5000037029,C00451,SAVINGS,INR,2021-09-07,LOW,ACTIVE
MT5000037051,C00451,WALLET,INR,2021-09-28,MEDIUM,ACTIVE
MT5000037143,C00452,SAVINGS,INR,2025-11-09,LOW,ACTIVE
MT5000037160,C00452,CURRENT,USD,2024-02-07,LOW,ACTIVE
MT5000037215,C00453,SAVINGS,INR,2022-08-28,LOW,ACTIVE
MT5000037294,C00454,SAVINGS,INR,2022-12-06,LOW,ACTIVE
MT5000037314,C00455,SAVINGS,INR,2024-05-20,LOW,ACTIVE
MT5000037395,C00455,NRE,INR,2021-04-30,LOW,ACTIVE
MT5000037470,C00456,SAVINGS,INR,2021-04-03,LOW,ACTIVE
MT5000037564,C00456,CURRENT,INR,2021-10-15,LOW,ACTIVE
MT5000037630,C00457,SAVINGS,INR,2024-01-18,MEDIUM,ACTIVE
MT5000037696,C00458,SAVINGS,INR,2024-02-15,LOW,ACTIVE
MT5000037756,C00458,CURRENT,INR,2024-02-16,LOW,ACTIVE
MT5000037820,C00459,SAVINGS,INR,2023-07-26,LOW,ACTIVE
MT5000037872,C00459,WALLET,INR,2021-01-21,LOW,ACTIVE
MT5000037899,C00460,SAVINGS,INR,2024-12-28,MEDIUM,ACTIVE
MT5000037957,C00460,CURRENT,INR,2024-07-04,LOW,ACTIVE
MT5000037978,C00461,SAVINGS,INR,2020-12-23,MEDIUM,ACTIVE
MT5000037989,C00462,SAVINGS,INR,2025-06-20,LOW,ACTIVE
MT5000038056,C00463,BUSINESS,INR,2024-04-01,LOW,ACTIVE
MT5000038122,C00464,SAVINGS,INR,2022-09-27,LOW,ACTIVE
MT5000038178,C00465,SAVINGS,INR,2023-12-06,MEDIUM,ACTIVE
MT5000038242,C00465,NRE,INR,2024-09-09,MEDIUM,ACTIVE
MT5000038272,C00466,SAVINGS,INR,2024-09-25,LOW,ACTIVE
MT5000038283,C00467,BUSINESS,INR,2024-07-27,MEDIUM,ACTIVE
MT5000038366,C00468,SAVINGS,INR,2025-10-13,LOW,ACTIVE
MT5000038396,C00468,CURRENT,USD,2024-03-15,LOW,ACTIVE
MT5000038422,C00469,SAVINGS,INR,2022-06-09,LOW,ACTIVE
MT5000038510,C00470,SAVINGS,INR,2021-06-25,LOW,ACTIVE
MT5000038528,C00471,SAVINGS,INR,2021-06-05,MEDIUM,ACTIVE
MT5000038623,C00471,WALLET,INR,2021-02-08,MEDIUM,ACTIVE
MT5000038660,C00472,SAVINGS,INR,2021-08-11,LOW,ACTIVE
MT5000038712,C00472,NRE,INR,2021-08-12,LOW,ACTIVE
MT5000038773,C00473,SAVINGS,INR,2022-07-22,LOW,ACTIVE
MT5000038793,C00473,NRE,INR,2024-12-11,LOW,ACTIVE
MT5000038854,C00474,SAVINGS,INR,2024-11-29,LOW,ACTIVE
MT5000038925,C00474,NRE,INR,2022-03-04,MEDIUM,ACTIVE
MT5000038936,C00475,SAVINGS,INR,2024-06-19,MEDIUM,ACTIVE
MT5000039026,C00476,SAVINGS,INR,2023-11-18,LOW,ACTIVE
MT5000039084,C00476,WALLET,INR,2026-01-20,LOW,ACTIVE
MT5000039101,C00477,SAVINGS,INR,2024-07-05,MEDIUM,ACTIVE
MT5000039103,C00477,NRE,INR,2021-09-05,LOW,ACTIVE
MT5000039132,C00478,SAVINGS,INR,2023-11-15,LOW,ACTIVE
MT5000039221,C00479,SAVINGS,INR,2023-03-17,LOW,ACTIVE
MT5000039297,C00479,CURRENT,INR,2026-01-16,MEDIUM,ACTIVE
MT5000039340,C00480,SAVINGS,INR,2023-01-14,LOW,ACTIVE
MT5000039418,C00481,BUSINESS,INR,2023-01-02,MEDIUM,ACTIVE
MT5000039467,C00481,CURRENT,USD,2024-01-12,LOW,ACTIVE
MT5000039528,C00482,SAVINGS,INR,2025-08-12,LOW,ACTIVE
MT5000039610,C00483,SAVINGS,INR,2021-03-16,LOW,ACTIVE
MT5000039632,C00483,CURRENT,INR,2025-03-24,LOW,ACTIVE
MT5000039695,C00484,SAVINGS,INR,2026-01-27,LOW,ACTIVE
MT5000039704,C00484,NRE,INR,2024-08-18,LOW,ACTIVE
MT5000039772,C00485,SAVINGS,INR,2025-10-30,LOW,ACTIVE
MT5000039774,C00486,SAVINGS,INR,2025-04-05,HIGH,ACTIVE
MT5000039825,C00487,SAVINGS,INR,2025-05-05,MEDIUM,ACTIVE
MT5000039842,C00487,WALLET,INR,2023-11-17,HIGH,ACTIVE
MT5000039869,C00488,SAVINGS,INR,2025-06-29,MEDIUM,ACTIVE
MT5000039960,C00489,SAVINGS,INR,2022-06-30,LOW,ACTIVE
MT5000040000,C00490,SAVINGS,INR,2022-12-05,LOW,ACTIVE
MT5000040092,C00490,WALLET,INR,2023-08-26,LOW,ACTIVE
MT5000040111,C00491,SAVINGS,INR,2023-09-22,MEDIUM,ACTIVE
MT5000040143,C00492,SAVINGS,INR,2023-04-11,LOW,ACTIVE
MT5000040206,C00493,SAVINGS,INR,2023-08-23,LOW,ACTIVE
MT5000040212,C00493,WALLET,INR,2025-09-17,LOW,ACTIVE
MT5000040271,C00494,SAVINGS,INR,2024-04-11,LOW,ACTIVE
MT5000040363,C00494,NRE,INR,2024-01-12,LOW,ACTIVE
MT5000040386,C00495,SAVINGS,INR,2023-11-23,LOW,ACTIVE
MT5000040466,C00495,WALLET,INR,2023-10-20,LOW,ACTIVE
MT5000040490,C00496,SAVINGS,INR,2022-04-22,MEDIUM,ACTIVE
MT5000040541,C00496,WALLET,INR,2020-12-02,MEDIUM,ACTIVE
MT5000040562,C00497,SAVINGS,INR,2024-09-08,MEDIUM,ACTIVE
MT5000040631,C00497,NRE,INR,2022-06-26,MEDIUM,ACTIVE
MT5000040724,C00498,SAVINGS,INR,2021-03-01,LOW,ACTIVE
MT5000040788,C00498,NRE,INR,2021-12-13,LOW,ACTIVE
MT5000040798,C00499,SAVINGS,INR,2021-12-26,LOW,ACTIVE
MT5000040840,C00499,NRE,INR,2023-09-11,LOW,ACTIVE
MT5000040846,C00500,SAVINGS,INR,2023-08-19,LOW,ACTIVE
